A股代码,A股简称,A股上市日期
600731,湖南海利,8/2/1996
600733,S前锋,8/16/1996
600734,实达集团,8/8/1996
600735,新华锦,7/26/1996
600736,苏州高新,8/15/1996
600737,中粮屯河,7/31/1996
600738,兰州民百,8/2/1996
600739,辽宁成大,8/19/1996
600740,山西焦化,8/8/1996
600741,华域汽车,8/26/1996
600742,一汽富维,8/26/1996
600743,华远地产,9/9/1996
600744,华银电力,9/5/1996
600745,中茵股份,8/28/1996
600746,江苏索普,9/18/1996
600747,大连控股,9/16/1996
600748,上实发展,9/25/1996
600749,西藏旅游,10/15/1996
600750,江中药业,9/23/1996
600751,天海投资,9/9/1996
600753,东方银星,9/27/1996
600754,锦江股份,10/11/1996
600755,厦门国贸,10/3/1996
600756,浪潮软件,9/23/1996
600757,长江传媒,10/3/1996
600758,红阳能源,10/29/1996
600759,洲际油气,10/8/1996
600760,*ST黑豹,10/11/1996
600761,安徽合力,10/9/1996
600763,通策医疗,10/30/1996
600764,中电广通,11/4/1996
600765,中航重机,11/6/1996
600766,园城黄金,10/28/1996
600767,运盛医疗,11/15/1996
600768,宁波富邦,11/11/1996
600769,祥龙电业,11/1/1996
600770,综艺股份,11/20/1996
600771,广誉远,11/5/1996
600773,西藏城投,11/8/1996
600774,汉商集团,11/8/1996
600775,南京熊猫,11/18/1996
600776,东方通信,11/26/1996
600777,新潮能源,11/21/1996
600778,友好集团,12/3/1996
600779,水井坊,12/6/1996
600780,通宝能源,12/5/1996
600781,辅仁药业,12/18/1996
600782,新钢股份,12/25/1996
600783,鲁信创投,12/25/1996
600784,鲁银投资,12/25/1996
600785,新华百货,1/8/1997
600787,中储股份,1/21/1997
600789,鲁抗医药,2/26/1997
600790,轻纺城,2/28/1997
600791,京能置业,1/30/1997
600792,云煤能源,1/23/1997
600793,宜宾纸业,2/20/1997
600794,保税科技,3/6/1997
600795,国电电力,3/18/1997
600796,钱江生化,4/8/1997
600797,浙大网新,4/18/1997
600798,宁波海运,4/23/1997
600800,天津磁卡,12/6/1993
600801,华新水泥,1/3/1994
600802,福建水泥,1/3/1994
600803,新奥股份,1/3/1994
600804,鹏博士,1/3/1994
600805,悦达投资,1/3/1994
