A股代码,A股简称,A股上市日期
000762,西藏矿业,1997-07-08
000766,通化金马,1997-04-30
000767,漳泽电力,1997-06-09
000768,中航飞机,1997-06-26
000776,广发证券,1997-06-11
000777,中核科技,1997-07-10
000778,新兴铸管,1997-06-06
000779,三毛派神,1997-05-28
000780,*ST平能,1997-06-06
000782,美达股份,1997-06-19
000783,长江证券,1997-07-31
000785,武汉中商,1997-07-11
000786,北新建材,1997-06-06
000788,北大医药,1997-06-16
000789,万年青,1997-09-23
000790,泰合健康,1998-03-27
000791,甘肃电投,1997-10-14
000792,盐湖股份,1997-09-04
000793,华闻传媒,1997-07-29
000795,英洛华,1997-08-08
000796,凯撒旅游,1997-07-03
000797,中国武夷,1997-07-15
000798,中水渔业,1998-02-12
000799,酒鬼酒,1997-07-18
000800,一汽轿车,1997-06-18
000801,四川九洲,1998-05-06
000802,北京文化,1998-01-08
000803,*ST金宇,1998-03-03
000806,银河生物,1998-04-16
000807,云铝股份,1998-04-08
000809,*ST新城,1998-06-16
000810,创维数字,1998-06-02
000811,烟台冰轮,1998-05-28
000812,陕西金叶,1998-06-23
000813,德展健康,1998-05-19
000815,美利云,1998-06-09
000816,智慧农业,1997-08-18
000818,方大化工,1997-10-17
000819,岳阳兴长,1997-06-25
000820,神雾节能,1998-06-30
000821,京山轻机,1998-06-26
000822,山东海化,1998-07-03
000823,超声电子,1997-10-08
000825,太钢不锈,1998-10-21
000826,启迪桑德,1998-02-25
000828,东莞控股,1997-06-17
000829,天音控股,1997-12-02
000830,鲁西化工,1998-08-07
000831,五矿稀土,1998-09-11
000833,贵糖股份,1998-11-11
000835,长城动漫,1999-06-25
000836,鑫茂科技,1997-09-29
000837,秦川机床,1998-09-28
000838,财信发展,1997-06-26
000839,中信国安,1997-10-31
000848,承德露露,1997-11-13
000850,华茂股份,1998-10-07
000851,高鸿股份,1998-06-09
000852,石化机械,1998-11-26
000856,冀东装备,1998-08-13
000858,五 粮 液,1998-04-27
000859,国风塑业,1998-11-19
000860,顺鑫农业,1998-11-04
000861,海印股份,1998-10-28
000862,银星能源,1998-09-15
000863,三湘印象,1997-09-25
000868,安凯客车,1997-07-25
000869,张裕Ａ,2000-10-26
000875,吉电股份,2002-09-26
000876,新 希 望,1998-03-11
000877,天山股份,1999-01-07
000878,云南铜业,1998-06-02
000880,潍柴重机,1998-04-02
000881,中广核技,1998-09-02
000882,华联股份,1998-06-16
000883,湖北能源,1998-05-19
000885,同力水泥,1999-03-19
000886,海南高速,1998-01-23
000887,中鼎股份,1998-12-03
000888,峨眉山Ａ,1997-10-21
000889,茂业通信,1997-12-18
000890,法 尔 胜,1999-01-19
000892,欢瑞世纪,1999-01-15
000893,东凌国际,1998-12-24
